Salary	Hours/Per Week	Age	No. of Dependents
33494.29	41	25	4
20208.17	60	18	1
45309.39	20	39	0
31157.06	37	49	4
35386.49	23	45	2
38291.91	26	23	3
19030.85	21	26	3
50742.65	52	26	1
24432.79	58	40	2
27293.28	27	50	2
49588.33	43	33	3
55156.31	37	33	1
24680.64	48	33	1
45854.23	48	26	1
48825.25	60	38	3
23832.81	52	32	4
53027.68	23	36	2
58111.30	53	34	4
54085.47	29	49	3
37828.85	32	23	2
43987.28	28	33	0
46452.41	29	29	1
48860.09	47	33	1
53634.89	31	36	3
37078.72	47	53	1
32458.72	35	30	2
50897.18	43	40	1
41875.97	23	47	0
41733.95	29	29	0
17855.41	44	22	0
57821.20	48	55	4
36702.77	24	26	4
34488.68	32	55	1
52843.19	53	24	4
41017.69	56	19	4
28588.68	57	50	4
29690.69	23	40	3
33344.03	29	29	3
37260.15	54	51	2
35833.43	46	26	1
26924.82	59	54	1
34287.41	33	43	3
41667.60	53	45	4
19948.24	42	40	3
49961.65	40	38	0
56504.86	33	23	3
54593.99	29	53	2
47336.75	33	33	0
23567.17	41	43	4
41245.11	23	32	2
56215.30	45	23	1
24528.07	43	43	3
28666.86	36	34	0
20332.51	37	24	4
59984.62	28	20	2
38578.16	46	21	2
46845.40	34	47	4
51263.76	31	51	2
38675.47	29	51	2
48547.08	49	49	2
54414.27	59	19	1
37731.38	43	54	3
38848.90	49	53	3
43120.74	37	35	3
55771.81	33	27	2
25970.37	32	19	4
24844.94	31	46	2
19756.22	37	18	2
53654.31	37	53	2
55417.36	20	26	4
38100.82	25	47	0
44406.34	51	39	4
27856.12	44	52	3
23289.92	35	26	4
20022.89	32	24	0
48434.36	24	40	4
46591.18	40	20	1
42766.31	54	43	4
24923.14	26	49	1
30779.48	50	54	2
45353.23	22	49	1
17727.98	56	36	1
53222.06	38	54	3
37480.98	60	19	1
43133.17	34	46	3
47862.66	39	50	0
56879.01	44	42	0
45055.12	38	43	2
32785.55	35	41	1
37439.80	20	34	4
43480.22	30	37	0
15808.88	52	53	0
20927.78	32	51	0
41270.63	39	38	3
52482.95	59	40	4
32887.43	26	32	2
36014.29	54	22	1
46611.46	55	25	2
17436.61	34	26	1
37376.60	45	53	1
41664.00	37	42	0
30449.31	48	32	0
20130.43	59	50	4
28721.38	46	39	3
23719.43	47	37	1
41722.47	31	48	2
29705.97	57	33	0
48741.01	24	30	1
48478.63	28	53	1
29158.64	50	32	2
40759.04	60	53	0
30291.30	26	19	3
36993.65	34	26	0
42835.59	21	46	0
15202.60	52	49	2
55920.56	37	30	3
40374.18	59	45	1
55281.86	38	44	0
17224.09	33	47	1
15781.79	38	54	3
52721.07	23	27	2
54240.39	60	39	3
44497.62	40	18	3
18230.68	44	47	2
47184.95	20	24	2
37318.58	37	40	0
37037.79	56	32	3
41823.06	53	20	4
21324.84	58	45	4
39845.17	32	26	0
24458.40	54	32	0
18749.95	20	45	3
45839.04	27	35	1
32091.11	25	49	3
57338.51	52	34	2
50343.48	41	44	2
40441.36	49	52	0
51348.26	23	35	2
16313.95	21	36	3
57129.42	21	33	0
46223.58	36	54	0
53423.62	26	30	2
15929.04	46	42	1
47038.93	40	51	1
30071.07	38	55	3
45748.89	21	52	3
17710.50	24	29	0
51195.07	22	33	2
18323.53	30	30	4
26983.46	44	18	4
24814.63	30	52	0
54346.51	46	21	1
39261.97	55	25	3
20728.87	37	46	2
45485.65	42	42	0
38877.23	25	46	3
48453.79	50	18	0
18950.65	41	39	4
25982.50	45	45	2
49332.90	53	40	0
16050.36	55	27	4
53455.74	59	43	0
36795.91	46	30	2
57438.12	44	20	1
41595.35	48	49	3
38276.57	27	55	2
49313.79	34	49	3
45898.72	32	55	2
33234.95	55	25	0
37072.22	60	38	1
56788.09	23	44	1
18290.91	54	45	3
54438.51	38	23	3
16485.46	43	29	0
56165.34	58	51	3
17134.75	44	18	4
55133.29	31	46	4
53353.82	38	29	4
32728.40	40	21	3
56901.20	51	27	0
51158.24	23	28	0
49554.67	26	28	1
42738.73	52	19	4
22455.61	22	55	2
37035.70	43	31	1
53010.12	40	24	2
43177.39	50	35	2
55354.04	56	49	2
56702.95	49	55	4
35776.08	40	38	0
39236.35	28	46	3
29255.79	49	23	4
45633.04	26	42	3
51698.82	44	46	3
58265.57	27	33	3
19922.72	49	19	0
34001.47	53	55	0
26770.44	33	50	0
52664.46	25	29	1
30950.51	37	52	1
23752.65	41	46	2
53838.47	36	38	0
29014.00	29	31	4
36174.75	60	50	0
33122.98	31	48	2
29935.38	58	42	0
32075.35	54	20	1
40694.71	60	22	1
38629.68	39	46	2
50994.19	40	32	1
32764.84	26	41	4
32733.83	32	48	2
15369.32	21	42	3
24190.95	44	20	4
32105.08	58	54	2
17221.52	46	24	0
45672.39	33	45	4
37697.82	30	40	2
20554.67	57	53	4
34224.29	23	46	1
23349.85	41	48	2
38158.84	29	36	2
29907.42	53	19	3
28898.28	38	51	4
34994.14	37	38	3
20122.79	35	35	0
34692.61	38	40	2
55860.17	21	38	3
33707.78	42	45	4
39396.03	28	50	4
58238.46	22	26	3
58804.16	54	25	3
16642.04	46	26	4
50861.29	49	52	1
27861.50	24	54	2
19761.92	51	35	2
19050.55	45	39	3
16485.66	46	46	2
30742.51	41	38	1
50522.53	48	46	1
18719.86	26	31	4
30059.33	53	22	0
53215.72	55	34	4
34658.20	24	40	1
33629.52	59	26	3
21958.81	32	29	0
44846.89	27	43	1
54661.57	45	18	1
46932.37	31	43	4
44115.10	33	43	2
54557.50	31	22	2
15027.58	45	53	1
37221.27	57	48	3
29536.01	46	47	2
31774.68	57	50	0
55080.72	59	18	4
30944.70	37	43	3
34613.71	26	38	4
43792.58	38	52	1
37370.80	28	46	3
27776.83	45	55	0
37127.28	31	31	1
57486.51	58	49	1
57495.04	54	52	4
25635.22	20	39	2
57063.00	50	46	4
36215.14	29	36	4
49389.65	24	47	3
21483.79	52	54	2
39327.47	27	35	3
56927.53	40	48	4
16047.90	38	45	0
23462.34	59	53	0
31013.65	41	18	3
30483.64	27	47	3
58343.82	24	40	0
18772.03	25	53	0
36799.96	52	38	3
54416.89	46	23	3
35257.29	39	33	4
32092.04	38	24	3
39295.04	24	33	2
19287.73	37	49	3
59031.44	59	23	0
50607.40	31	30	2
35708.81	21	49	2
33622.74	35	28	4
45448.83	42	43	4
49807.17	29	55	0
45245.18	60	20	2
48463.46	26	19	0
29558.35	55	31	2
52752.06	20	55	4
16430.34	59	47	0
35584.13	56	29	4
19642.29	55	22	3
51929.03	32	18	1
30795.30	29	26	1
25792.51	36	49	3
24463.82	45	25	2
55021.80	35	23	4
42445.85	37	32	2
59253.14	22	19	0
46035.97	58	47	4
21503.86	22	30	0
49825.46	55	30	1
59293.95	28	51	0
58137.67	60	31	3
59967.69	35	48	0
23640.02	59	43	0
51429.02	29	45	0
18836.65	52	44	4
36552.66	43	44	0
31931.82	48	31	0
55326.30	37	49	2
58299.95	37	32	3
54103.16	57	32	1
16352.02	34	33	2
27394.59	50	43	3
22074.69	25	20	2
52436.04	47	22	3
23039.99	36	46	4
18091.80	30	42	1
31261.94	59	21	2
56796.77	50	34	0
33916.94	54	23	3
23184.71	41	52	2
42303.40	26	46	2
34769.62	24	26	1
45096.04	31	23	1
42217.52	25	24	0
32896.00	42	48	0
21117.94	43	30	3
44874.91	40	42	2
39880.33	33	36	2
24367.08	34	36	0
19717.10	33	23	2
41937.79	54	34	3
29490.81	29	24	0
22222.52	35	47	2
33554.56	34	26	3
28794.71	34	37	1
30208.19	36	23	0
17263.53	33	49	1
42493.18	42	23	4
17114.98	22	52	0
15936.41	49	48	4
33905.53	23	18	4
42084.81	26	39	2
59991.69	44	29	4
28292.63	55	36	4
30657.45	39	46	4
20366.90	33	22	4
41769.78	51	48	1
38596.92	48	31	4
58105.04	29	36	3
57310.36	27	22	4
38265.84	59	47	1
20994.01	58	46	0
35354.87	24	46	1
15479.46	49	27	1
52198.60	45	45	1
36714.80	21	55	3
50071.60	37	54	2
46728.25	58	40	3
52416.70	30	43	1
33964.21	37	36	1
20995.97	40	49	0
44842.02	23	38	2
50600.48	21	47	4
30431.17	50	45	0
51015.56	30	41	0
19635.95	33	41	2
22089.95	49	19	4
51988.18	29	26	3
20380.47	20	34	4
29678.74	42	26	1
15606.98	54	37	3
59831.25	53	35	3
45160.76	39	50	3
42092.29	36	38	2
20093.79	60	53	4
41430.58	47	44	3
57515.81	44	41	1
20997.75	56	38	3
41633.80	50	35	4
28441.57	56	53	0
37595.50	20	33	4
53480.40	57	44	3
22439.88	53	28	3
23527.56	28	44	4
33198.53	51	54	2
16282.05	36	22	2
57827.55	52	55	1
27987.56	59	34	4
44784.00	52	20	2
36212.17	26	29	4
22505.47	35	22	4
57250.82	30	26	3
55340.72	31	28	4
41676.36	40	50	3
32846.21	48	35	3
24955.59	59	43	4
37848.05	55	39	2
27924.37	40	34	2
52819.95	45	26	2
47406.67	49	20	4
20062.30	43	25	2
47592.42	45	27	0
45646.23	40	29	0
27906.99	38	44	0
18629.51	50	41	0
49584.00	53	31	3
36676.03	39	18	1
28536.00	21	53	2
30217.79	34	43	4
58196.37	60	25	3
35401.81	56	49	4
34380.53	24	23	4
20050.88	39	54	2
33095.69	28	34	0
38606.22	53	43	3
54446.06	58	22	4
42964.20	27	54	1
23553.33	39	19	1
46409.83	51	45	0
20636.45	28	27	2
57228.76	59	54	0
50959.25	36	44	3
35718.28	29	55	4
38572.05	45	49	3
48130.38	24	26	2
42573.12	57	21	1
43795.58	21	20	2
15115.36	58	18	1
55787.86	50	21	0
44239.78	22	21	0
29876.90	44	30	4
15222.09	25	40	0
33909.53	33	40	2
59495.01	34	50	4
43287.23	39	24	1
48162.02	59	44	2
45829.48	31	25	0
26838.97	36	37	1
50018.38	31	30	4
36411.53	54	21	1
40115.41	39	20	1
45534.53	47	37	0
37499.08	39	23	1
43857.16	29	41	4
38499.85	43	32	0
21147.30	45	44	3
50123.74	59	31	0
46282.06	29	31	4
18942.74	30	39	0
25862.87	27	46	2
24360.22	33	55	3
55507.57	47	39	3
21689.24	25	20	1
24800.58	22	54	2
31891.50	41	27	1
43534.53	38	48	2
58006.54	38	46	4
45346.79	57	31	2
51543.32	29	31	1
24629.06	44	28	1
55825.86	37	40	1
15777.97	43	20	3
20637.46	34	20	4
40592.40	53	36	0
39195.34	26	44	3
43520.43	27	44	2
38431.25	60	25	0
49836.70	41	31	1
55274.64	25	24	1
55819.09	58	47	3
15980.83	48	41	2
22370.63	30	28	3
22095.89	37	35	2
17338.88	36	39	0
45791.91	34	40	2
57635.16	44	21	4
43549.38	41	19	4
31104.60	51	22	1
16585.15	55	25	4
16741.56	46	43	4
51270.58	32	47	1
49122.74	56	18	3
19991.85	25	19	0
18617.89	28	31	3
53568.20	59	41	2
41531.82	41	27	1
31067.76	25	38	3
41894.76	50	37	4
55705.58	48	53	1
50953.19	21	27	1
53251.19	54	35	0
32686.12	33	25	0
40098.24	29	25	1
55186.92	39	34	0
23762.92	29	51	0
38309.04	51	43	3
26509.61	60	24	1
41190.93	27	31	4
29004.45	49	49	2
22671.06	57	27	0
21986.36	57	25	3
53046.81	59	31	1
26321.69	30	30	4
17630.48	30	44	0
16758.42	55	54	2
37553.28	30	44	3
49844.97	45	42	3
38410.89	55	40	0
58034.88	39	34	1
50922.19	57	33	2
36832.87	26	49	2
25359.82	37	40	1
30053.88	58	45	2
40106.63	21	40	3
32976.51	31	36	3
31163.07	53	32	0
33856.98	33	42	0
51152.35	42	41	4
24425.71	59	49	3
59277.21	38	46	2
25466.28	35	48	2
59087.51	42	28	0
38192.63	44	28	2
41327.89	32	24	1
37989.89	24	43	2
49430.98	50	51	0
26147.84	53	49	2
38687.36	45	20	0
34887.41	48	19	4
18052.44	54	45	2
49869.48	25	25	0
46688.15	26	32	0
47653.44	49	27	1
52840.74	22	54	2
40384.56	56	29	1
29461.02	24	51	4
53757.20	55	29	3
56557.67	21	30	2
16835.09	44	35	0
17787.97	25	18	4
23236.98	42	36	1
23835.56	20	27	3
17264.34	44	31	4
49226.87	49	23	2
15410.48	51	24	0
20499.59	51	27	4
57257.78	46	46	0
42870.76	23	55	4
32044.40	29	41	4
35367.52	54	36	0
45536.18	60	21	0
51178.56	45	28	3
32289.71	34	33	3
27119.71	22	50	2
56202.64	25	43	1
32257.41	59	25	4
57822.40	48	45	2
52857.06	46	24	4
37300.09	51	22	1
23027.43	31	46	0
39068.66	31	45	4
54418.55	45	41	4
42591.52	36	29	0
30591.05	27	36	0
22233.04	60	51	3
47093.90	27	31	2
53174.12	38	28	2
29858.93	39	54	0
17295.69	38	34	1
16850.36	24	54	1
37672.01	35	19	1
46093.01	28	47	4
45059.98	44	54	1
53280.06	58	32	2
41996.04	59	44	4
52538.46	31	38	1
17200.84	34	43	4
53454.56	28	38	2
53350.33	59	44	0
22179.23	55	44	4
36788.42	42	36	0
17059.82	20	29	3
38924.92	28	26	0
16850.40	38	32	2
16056.40	58	42	0
32562.44	51	43	1
26885.06	36	28	2
28181.66	46	51	2
56907.20	39	25	3
48543.68	30	19	1
31695.66	42	55	1
59828.97	60	18	1
40777.72	52	38	4
24581.53	30	35	4
17315.65	31	44	0
40246.35	37	41	4
15997.80	37	53	3
32882.31	28	27	1
55116.93	58	51	1
43043.85	24	37	4
38240.43	28	42	1
59472.08	56	40	0
18169.21	42	36	4
38913.44	29	48	3
54142.95	32	26	0
33184.27	41	23	3
54385.72	26	18	2
31726.00	41	50	3
22354.12	41	32	0
22304.21	37	23	1
20654.47	53	46	4
52593.90	50	33	0
29117.74	60	29	4
35628.49	44	25	2
27704.44	32	20	4
56661.13	23	26	1
22597.58	39	31	4
31205.96	22	30	3
40151.91	48	19	4
32709.13	20	50	3
44608.10	57	44	0
35001.92	41	48	1
37096.96	27	35	3
48256.47	22	23	0
54899.58	45	34	4
45764.59	58	31	0
46122.51	21	44	1
24079.77	23	21	4
39797.33	24	49	0
35502.40	42	46	3
18975.72	47	26	3
55804.92	48	40	0
36135.70	45	38	2
56621.35	51	25	1
18225.19	22	45	0
37029.88	33	29	4
43225.96	34	36	0
43567.57	28	26	4
29384.79	59	46	3
57854.48	20	19	1
56620.28	51	50	3
52453.44	53	45	2
16229.64	35	39	3
15233.16	36	20	1
35663.35	35	41	3
37922.87	52	22	3
31114.72	45	53	1
45232.57	47	45	3
28521.67	36	39	3
47794.06	48	43	0
36183.65	40	22	1
30079.43	54	39	2
33217.80	31	24	2
29237.61	52	55	3
54168.92	51	54	4
40376.50	59	19	4
46915.50	34	26	4
54832.97	59	42	4
43598.55	30	32	1
57391.49	55	20	1
58376.16	22	51	2
31795.51	21	39	2
46322.74	33	28	2
37129.52	49	39	0
45849.13	47	24	0
49908.18	33	53	1
19619.75	28	29	1
25504.43	33	52	4
38935.60	39	23	0
41183.00	35	54	2
45956.92	48	35	3
15433.12	32	38	1
24779.35	29	35	3
18388.67	58	42	1
15076.11	22	25	2
45586.56	45	37	2
34101.06	51	34	1
47822.50	20	26	0
38648.14	56	53	0
16181.25	26	32	2
21893.40	46	45	0
34331.66	30	35	3
16059.52	55	46	1
58805.64	50	43	0
26579.22	28	53	0
49553.70	45	22	1
34476.27	25	52	1
39587.57	38	24	4
51018.55	47	53	2
51093.31	28	32	0
59524.72	59	44	3
18890.67	29	51	4
47846.16	58	39	2
39498.60	33	18	2
16441.21	22	35	3
39724.29	46	33	2
35045.09	46	32	4
19739.82	48	20	0
45050.20	24	50	3
51363.12	53	38	2
23619.30	34	55	4
37945.95	47	26	4
17173.53	36	25	0
30414.84	34	38	1
43195.98	49	34	4
29874.61	43	46	1
47583.47	53	25	2
27605.87	41	40	3
54160.40	29	42	0
36472.14	36	51	4
47432.15	49	44	3
49261.35	47	22	1
57523.47	32	27	0
17775.84	36	38	2
17742.35	32	52	0
26191.36	33	34	2
53201.71	43	40	3
44397.22	35	45	0
36654.98	56	20	0
16159.42	40	23	1
59750.03	25	51	1
25111.93	38	55	4
16518.64	40	46	0
23935.90	51	43	2
37978.36	50	22	1
56794.07	44	39	2
34902.33	25	36	0
31158.05	50	20	0
16814.07	56	48	0
47962.91	59	31	2
51086.16	33	22	0
55497.37	30	38	0
25537.89	59	33	3
17990.07	37	49	2
25337.51	25	36	4
43425.87	25	26	2
46044.32	50	40	2
59068.00	58	55	0
20269.44	33	42	1
17130.62	26	42	1
58886.75	26	19	2
21841.11	31	38	3
42764.18	34	26	2
21143.40	60	34	4
46178.83	35	54	0
24033.67	21	46	1
23967.28	49	39	1
23422.34	27	50	4
20350.64	49	31	1
35689.92	34	51	0
40863.13	21	38	2
20145.87	39	19	1
55684.01	58	30	4
41024.96	26	41	3
39300.85	36	47	2
34321.13	27	47	1
38440.85	47	39	4
34994.18	36	52	1
41611.38	22	39	2
15790.21	53	38	3
18213.39	57	51	3
37503.00	37	34	0
21079.04	21	29	1
41623.20	29	49	2
54264.29	22	35	2
56456.55	47	18	4
42068.45	31	46	1
31456.26	33	47	3
28633.37	35	31	1
56334.14	24	23	0
46283.32	27	53	1
18983.37	21	21	1
18704.14	30	44	2
35357.21	26	31	2
57777.06	40	19	1
16974.07	36	22	0
39262.14	40	51	1
15682.74	56	18	4
34738.79	51	20	0
16825.14	48	32	1
56084.47	48	27	1
33594.76	34	36	4
57179.09	59	20	4
29960.76	22	52	0
20658.92	53	55	4
36586.76	45	29	4
24379.45	46	53	0
56364.40	49	55	2
15779.94	58	30	4
36411.15	25	42	1
38268.92	55	37	1
15718.98	59	51	0
49576.51	38	34	2
51736.15	20	46	0
25108.75	33	50	1
40503.56	42	54	1
58935.54	40	48	4
31268.25	26	36	3
59767.18	26	42	4
41976.61	48	21	4
58320.75	32	49	1
23663.75	52	24	0
20574.23	58	39	4
16569.87	30	53	0
59008.01	45	49	4
22454.96	40	19	3
50709.14	22	27	4
48195.84	35	30	4
20158.76	22	43	2
32735.34	33	36	4
41454.04	54	47	2
15436.76	60	41	1
16262.39	35	42	4
51829.14	39	49	1
46679.16	48	22	2
23244.15	48	33	3
52504.29	41	34	0
33363.95	57	41	4
30852.44	55	37	1
57826.87	50	35	0
48392.87	22	50	0
22799.44	38	32	3
28801.07	52	28	1
47620.62	22	32	4
53584.19	30	51	0
56887.58	46	53	3
45751.78	55	33	0
21634.03	37	54	2
39317.75	41	32	0
33444.08	27	25	3
16387.68	27	54	3
39727.71	34	49	0
40812.16	20	44	0
43122.24	42	37	3
53060.67	53	38	1
51274.54	51	33	1
35961.69	35	40	2
45208.55	26	48	2
40305.06	20	20	2
44815.52	29	22	1
27326.21	28	43	0
40027.48	60	45	2
24844.38	30	53	0
59031.05	43	44	2
23691.01	23	41	4
53378.69	59	33	3
56501.15	57	28	1
16776.88	48	22	4
59738.72	22	55	1
27686.57	32	37	0
