Location	Zip Code	Year 1	Year 2	Year 3	Year 4	Year 5
Location-1029	29672	32.8	26.7	41.7	5.8	4.7
Location-103	45049	24.4	20.6	12.6	13.3	31.8
Location-1030	19416	5.9	31.9	28.8	41.4	11.3
Location-1031	16123	20.2	4.2	37.7	25.7	31.8
Location-1032	42242	29.6	10.8	19.7	26.2	4.7
Location-1033	45609	3.2	18.8	34.2	38.3	27.9
Location-1034	13814	25.6	10.4	41.9	20.7	6.8
Location-1035	69755	9.4	20.4	23.8	47.3	29.1
Location-1036	32595	17.0	30.3	40.9	44.2	11.2
Location-1037	48001	7.2	18.7	40.4	42.5	37.1
Location-1038	83647	49.5	10.5	11.3	24.0	2.3
Location-1039	81113	25.8	6.1	19.9	16.4	4.8
Location-104	56205	31.4	9.6	30.7	36.5	6.1
Location-1040	21197	43.9	2.4	24.2	4.4	48.1
Location-1041	94401	1.6	37.4	20.7	43.3	41.6
Location-1042	41981	28.4	41.7	23.5	45.8	31.3
Location-1043	37844	43.0	23.1	12.1	44.2	37.9
Location-1044	53948	32.8	40.3	42.5	36.5	3.5
Location-1045	83559	3.8	45.5	26.3	30.9	34.5
Location-1046	80366	39.0	34.0	17.8	23.2	17.8
Location-1047	14703	43.6	22.3	15.6	36.9	17.4
Location-1048	43194	49.7	38.8	5.3	27.5	2.4
Location-1049	43105	45.3	4.2	7.0	41.3	29.3
Location-105	64059	21.7	37.0	30.5	10.4	47.9
Location-1050	14131	40.5	30.6	22.4	31.5	40.5
Location-1051	66680	46.2	12.8	45.2	25.4	42.2
Location-1052	31150	22.2	47.3	19.6	48.4	40.9
Location-1053	79805	27.3	16.6	41.8	10.3	3.9
Location-1054	49305	35.8	32.0	10.1	22.4	14.8
Location-1055	31916	39.8	43.4	26.0	43.7	31.1
Location-1056	33247	40.1	33.3	31.3	5.9	11.7
Location-1057	16217	27.2	19.7	11.6	33.7	15.8
Location-1058	68157	44.6	24.1	27.9	31.8	33.2
Location-1059	93422	49.8	17.0	42.6	3.2	27.6
Location-106	99465	41.6	21.6	29.7	37.5	10.6
Location-1060	96813	1.9	42.6	49.9	3.9	6.6
Location-1061	10805	11.5	49.4	46.5	29.5	12.6
Location-1062	41924	18.4	47.7	35.9	33.5	14.5
Location-1063	92480	16.8	22.0	36.2	40.9	40.9
Location-1064	54224	19.3	34.8	46.4	20.6	41.0
Location-1065	89316	44.0	8.6	9.8	43.6	12.8
Location-1067	23948	27.8	34.1	7.1	12.7	24.8
Location-1068	23150	18.3	48.3	31.1	17.0	8.4
Location-1069	42592	7.8	27.5	43.7	47.7	9.5
Location-107	25189	25.3	8.0	31.4	30.7	11.3
Location-1070	37047	41.0	40.3	15.1	33.1	48.0
Location-1071	27877	23.4	20.7	19.0	46.7	3.6
Location-1072	95787	2.8	17.3	3.7	44.0	31.2
Location-1073	34781	42.6	38.2	19.4	22.2	47.9
Location-1074	13771	5.5	21.7	26.7	19.6	1.0
Location-1075	72364	38.3	21.9	22.6	10.4	14.8
Location-1076	83236	8.0	47.0	19.8	6.8	23.2
Location-1077	13187	26.1	41.9	31.0	4.8	30.1
Location-1078	23410	27.7	6.2	46.3	46.1	11.2
Location-1079	87278	33.2	5.7	35.2	36.5	9.7
Location-108	24056	35.6	15.3	27.1	27.3	27.3
Location-1080	35493	34.1	6.5	12.9	42.7	31.5
Location-1081	59886	38.5	34.6	19.9	1.1	32.6
Location-1082	71499	9.2	18.5	46.9	47.7	42.9
Location-1083	51520	29.0	39.6	27.1	10.2	29.3
Location-1084	79017	18.2	43.2	42.3	32.6	6.7
Location-1085	33473	5.0	10.1	33.6	24.3	42.4
Location-1086	82638	19.0	42.6	34.1	22.8	18.9
Location-1087	45636	15.2	44.0	45.0	27.4	19.1
Location-1088	49325	46.9	17.6	3.1	41.6	20.6
Location-1089	38389	11.5	7.1	36.8	36.4	39.2
Location-109	53595	38.9	39.8	48.0	10.4	30.6
Location-1090	87469	32.4	25.3	47.4	44.2	6.9
Location-1091	59048	49.6	4.2	32.7	25.5	19.6
Location-1092	88275	3.0	35.8	19.7	14.0	32.9
Location-1093	71340	10.4	5.5	31.6	38.8	19.0
Location-1094	79755	28.2	9.9	42.7	28.6	4.1
Location-1095	52197	46.6	6.5	28.4	5.5	2.8
Location-1096	46133	3.7	30.9	26.7	16.0	29.4
Location-1097	60526	4.5	45.6	46.6	37.2	47.0
Location-1098	72177	30.3	2.7	37.3	48.6	18.2
Location-1099	49134	6.8	20.9	16.7	42.2	39.2
Location-11	42809	41.9	43.8	36.5	39.4	30.8
Location-110	98368	10.8	45.2	23.4	45.6	19.1
Location-1100	15554	46.0	43.7	32.8	4.5	39.4
Location-1101	96956	13.1	30.4	15.1	45.9	23.0
Location-1102	98072	31.9	21.6	35.7	21.1	23.4
Location-1103	94976	37.7	30.9	9.9	10.3	42.0
Location-1104	56672	24.9	8.9	35.6	26.9	32.8
Location-1105	11078	14.7	44.3	44.9	25.5	32.8
Location-1106	66815	42.7	31.4	4.0	4.4	32.6
Location-1107	32657	11.1	47.8	1.9	6.2	6.5
Location-1108	21869	23.6	4.8	30.6	35.7	28.1
Location-1109	26944	22.7	41.7	7.2	19.4	31.7
Location-111	94007	38.4	47.6	32.6	33.3	33.1
Location-1110	19982	37.5	2.5	16.1	17.9	10.7
Location-1111	85054	14.8	20.4	38.7	14.8	38.5
Location-1112	29888	20.2	30.7	38.8	24.6	28.0
Location-1113	15187	43.6	1.9	11.4	8.6	11.5
Location-1114	83059	8.4	23.8	10.9	19.0	11.8
Location-1115	98929	12.1	26.6	20.5	43.1	42.3
Location-1116	40569	10.0	25.0	42.9	25.2	7.8
Location-1117	48967	15.7	40.7	29.2	7.5	27.4
Location-1118	94986	31.9	43.7	23.9	9.5	35.1
Location-1119	28081	25.9	24.3	11.7	34.4	43.1
Location-112	62987	21.5	8.1	47.8	36.3	48.4
Location-1120	26321	41.6	30.4	34.7	45.9	39.1
Location-1121	62312	28.6	34.1	48.0	45.9	30.2
Location-1122	21473	17.7	33.0	11.1	4.2	25.6
Location-1123	68470	17.7	16.9	11.8	6.6	14.1
Location-1124	40418	32.0	40.5	31.9	10.7	29.1
Location-1125	51546	42.7	1.1	48.2	39.8	6.5
Location-1126	36808	23.7	39.5	34.8	13.9	16.8
Location-1127	60743	48.6	43.0	45.4	32.6	40.6
Location-1128	95254	18.1	23.0	13.9	35.6	20.2
Location-1129	87244	6.4	37.9	15.5	20.7	21.7
Location-113	38063	33.6	43.8	7.5	28.2	36.5
Location-1130	96792	43.4	13.1	17.6	30.7	40.2
Location-1131	11505	33.4	37.0	1.1	14.2	28.5
Location-1132	10321	19.5	36.6	35.2	21.8	39.8
Location-1133	89253	14.1	37.2	20.6	17.7	12.1
Location-1134	65490	36.3	21.0	38.2	27.3	34.6
Location-1135	52927	7.7	43.0	49.0	31.2	27.5
Location-1136	80729	17.1	16.5	39.5	8.5	45.3
Location-1137	89093	7.6	26.2	22.4	16.4	25.0
Location-1138	70169	11.3	23.4	2.8	15.7	10.4
Location-1139	19938	25.9	31.4	18.9	13.2	40.1
Location-114	41198	46.0	49.8	13.1	14.3	31.0
Location-1140	43845	15.4	23.8	17.4	33.8	38.5
Location-1141	83974	10.7	40.0	12.0	24.9	26.5
Location-1142	24243	12.4	4.8	12.0	8.4	36.4
Location-1143	94985	34.1	33.3	8.6	10.5	15.2
Location-1144	53442	39.8	24.0	47.5	44.8	2.7
Location-1145	35082	9.4	47.8	32.3	46.2	40.2
Location-1146	44101	27.4	15.9	7.5	20.9	7.2
Location-1147	95616	47.3	28.8	7.3	33.7	28.3
Location-1148	69307	8.6	1.8	23.6	33.0	20.4
Location-1149	59325	17.4	24.8	30.1	23.7	34.0
Location-115	63497	17.9	22.6	29.0	49.2	19.1
Location-1150	12489	3.2	24.1	3.8	38.6	16.1
Location-1151	75904	6.1	14.2	18.7	25.4	34.1
Location-1152	80596	40.1	11.7	32.8	19.1	23.9
Location-1153	60088	1.7	16.1	37.7	33.3	44.7
Location-1154	88582	28.2	6.9	6.9	18.1	24.5
Location-1155	75425	12.7	14.6	19.8	30.9	12.5
Location-1156	87203	1.5	43.2	37.3	49.5	19.4
Location-1157	52189	15.7	49.9	11.2	44.3	28.1
Location-1158	45120	38.0	31.7	47.0	3.7	34.5
Location-1159	33764	48.5	21.2	6.5	24.6	44.2
Location-116	23780	7.8	23.7	9.0	31.7	42.1
Location-1161	13336	11.0	4.1	6.7	6.9	23.6
Location-1162	80246	10.5	37.7	1.7	44.7	33.0
Location-1163	82996	6.9	43.8	4.0	33.9	35.6
Location-1164	32096	35.1	5.1	9.5	3.0	25.5
Location-1165	98372	26.7	9.6	12.5	23.7	31.2
Location-1166	47209	41.9	30.5	12.6	3.6	13.5
Location-1167	97964	34.6	21.3	45.0	20.7	16.4
Location-1168	20764	33.6	42.5	41.6	12.7	13.3
Location-1169	86740	41.0	27.6	27.2	11.7	1.3
Location-117	59381	22.1	1.3	18.7	17.3	9.1
Location-1170	82827	20.7	13.4	37.9	18.9	26.3
Location-1171	44708	9.7	44.2	33.4	39.1	29.1
Location-1172	10046	49.0	4.5	48.9	6.3	6.2
Location-1173	97071	11.5	12.7	47.4	15.4	3.9
Location-1174	16100	18.3	45.0	49.6	22.7	9.4
Location-1175	65309	43.2	49.1	24.6	40.4	18.6
Location-1176	98133	19.3	10.7	35.4	36.4	49.4
Location-1177	68126	18.3	28.9	7.7	29.2	26.3
Location-1178	83427	35.4	11.0	43.6	36.4	7.0
Location-1179	38451	6.5	44.8	11.7	13.9	15.6
Location-118	18610	39.2	10.3	1.3	35.1	28.6
Location-1180	32590	47.5	5.5	31.3	16.3	44.3
Location-1181	65165	7.4	33.1	31.5	4.6	28.1
Location-1182	71507	13.7	15.0	39.6	29.5	22.7
Location-1183	40755	15.8	23.6	49.6	19.9	6.8
Location-1184	86616	22.0	3.6	4.0	36.2	7.4
Location-1185	31470	6.2	45.1	18.0	36.1	26.6
Location-1186	54457	42.4	4.6	20.9	4.4	22.1
Location-1187	12686	40.8	9.8	1.0	35.3	39.3
Location-1188	10324	29.1	10.7	36.7	9.2	18.5
Location-1189	32528	11.1	3.0	6.7	44.1	27.4
Location-119	36003	42.6	6.0	48.4	32.7	13.9
Location-1190	74540	25.3	22.0	15.3	15.9	38.3
Location-1191	79032	6.7	28.2	45.9	3.1	35.2
Location-1192	84684	29.3	31.0	43.8	44.4	19.2
Location-1193	97274	37.3	39.2	22.1	42.4	34.6
Location-1194	81191	27.5	44.1	19.5	11.7	5.3
Location-1195	78116	30.2	49.8	34.6	2.4	7.8
Location-1196	57702	5.7	2.3	32.2	27.4	20.5
Location-1197	29049	24.9	29.9	13.9	14.0	8.0
Location-1198	89045	49.3	17.5	32.5	48.7	14.4
Location-1199	53349	11.4	9.0	8.0	4.9	10.4
Location-12	85511	31.9	13.5	10.4	33.9	25.9
Location-120	26732	34.7	29.8	13.3	49.3	28.7
Location-1200	70488	5.2	33.8	32.9	30.0	12.6
Location-1201	36159	17.7	35.5	31.5	38.1	6.5
Location-1202	51998	18.8	32.0	22.2	48.3	47.2
Location-1203	38745	22.3	48.1	13.7	36.0	32.8
Location-1204	51962	40.9	18.1	25.4	35.8	6.2
Location-1205	19781	11.3	19.0	49.5	45.3	38.9
Location-1206	17619	10.6	22.4	32.0	33.0	14.4
Location-1207	81188	30.0	39.5	38.5	13.6	49.3
Location-1208	26294	21.6	6.3	44.3	19.5	3.7
Location-121	68927	27.6	17.1	21.0	34.2	12.5
Location-1210	23689	40.2	10.8	17.5	24.8	1.7
Location-1211	35933	42.1	18.4	12.0	28.9	10.4
Location-1212	66983	47.6	44.2	29.5	12.9	8.7
Location-1213	29362	29.7	24.0	11.9	3.9	4.1
Location-1214	50632	23.4	4.5	25.7	33.6	36.9
Location-1215	48494	33.5	1.2	40.7	35.5	49.3
Location-1216	16299	47.0	10.9	9.7	41.7	1.1
Location-1217	49062	7.2	35.7	15.4	21.2	8.6
Location-1218	54045	11.7	14.9	12.5	38.8	42.2
Location-1219	33121	3.0	32.1	18.9	6.4	27.0
Location-122	44401	33.1	1.5	35.3	44.5	10.8
Location-1220	51745	49.5	30.4	39.2	8.1	42.3
Location-1221	89252	2.7	42.5	24.1	43.5	17.0
Location-1222	21554	15.8	21.9	45.4	3.2	2.6
Location-1223	82109	21.7	48.9	38.7	45.3	23.7
Location-1224	17160	45.9	33.1	29.9	7.6	31.1
Location-1225	27352	45.6	41.0	19.8	17.4	29.4
Location-1226	65597	43.5	49.5	10.0	34.3	42.4
Location-1227	28386	30.8	11.3	41.8	3.0	35.4
Location-1228	78827	35.9	37.5	21.1	4.2	44.6
Location-1229	26972	17.4	11.5	48.4	40.3	22.9
Location-123	79564	28.1	49.5	16.0	44.7	31.8
Location-1230	55394	17.7	46.8	13.0	31.0	21.8
Location-1231	74846	27.1	45.3	24.3	46.1	29.8
Location-1232	99205	41.0	16.6	35.2	49.1	47.0
Location-1233	13819	15.5	22.7	45.3	23.8	44.0
Location-1234	43964	38.1	20.0	4.1	29.1	17.2
Location-1235	30788	18.9	36.8	46.6	10.7	37.5
Location-1236	21288	48.5	19.8	38.2	41.8	6.1
Location-1237	20105	27.3	24.9	18.1	48.1	23.8
Location-1238	63425	33.2	24.4	26.8	26.6	42.9
Location-1239	39767	9.7	33.7	19.0	46.4	33.1
Location-124	67704	12.3	10.5	40.6	26.0	24.3
Location-1240	13899	7.3	41.7	6.5	10.9	41.8
Location-1241	58813	41.0	35.5	22.9	19.4	16.0
Location-1242	66337	10.9	23.2	13.2	45.2	30.7
Location-1243	84058	46.9	26.0	42.9	41.6	17.5
Location-1244	21064	12.4	41.3	13.4	44.7	32.9
Location-1245	57099	25.8	25.7	8.7	42.5	14.1
Location-1246	61028	15.4	45.4	14.6	28.2	47.0
Location-1247	26535	28.5	38.5	26.5	3.3	44.9
Location-1248	93794	7.6	12.3	27.5	22.4	29.1
Location-1249	98665	4.4	46.4	43.2	39.7	14.3
Location-125	18639	24.2	18.5	12.1	19.7	24.4
Location-1250	99541	9.0	26.7	1.8	5.8	11.1
Location-1251	76760	20.4	20.3	49.3	11.4	39.6
Location-1252	78539	43.5	24.1	49.8	33.3	12.3
Location-1253	57891	49.4	32.1	29.0	20.9	38.0
Location-1254	59277	31.0	46.0	15.1	17.5	11.3
Location-1255	97350	12.4	10.7	40.2	28.9	9.8
Location-1256	61378	9.5	35.0	21.3	20.8	8.9
Location-1257	77514	42.7	10.9	5.9	36.4	28.1
Location-1258	48347	33.5	8.6	37.6	20.4	17.5
Location-1259	66024	39.8	20.6	20.9	43.9	15.5
Location-126	17730	23.5	36.5	10.6	5.9	8.3
Location-1260	86419	18.2	31.2	48.0	29.7	49.7
Location-1261	93360	22.2	32.9	32.4	16.7	48.5
Location-1262	82438	5.9	19.8	23.0	33.5	20.9
Location-1263	41485	24.4	45.8	7.7	20.0	42.9
Location-1264	88342	15.2	23.1	37.5	33.9	24.6
Location-1265	15706	5.9	49.6	4.6	36.6	19.9
Location-1266	56646	43.7	45.9	31.7	49.0	20.6
Location-1267	27204	46.9	23.7	39.1	44.1	32.2
Location-1268	87006	44.0	18.8	9.1	40.5	21.9
Location-1269	28668	44.6	44.3	47.8	10.1	19.9
Location-127	87121	16.4	20.6	5.1	32.8	30.9
Location-1270	83624	34.4	21.4	2.6	37.1	36.7
Location-1271	59855	29.6	24.7	47.2	20.3	8.4
Location-1272	80296	46.7	39.9	21.3	9.9	5.3
Location-1273	69024	24.7	2.4	21.1	11.9	10.9
Location-1274	34892	17.4	36.1	13.1	46.0	16.5
Location-1275	46487	26.6	25.9	7.4	46.3	17.6
Location-1276	67061	21.1	1.2	31.6	4.2	22.9
Location-1277	25286	2.0	20.6	28.4	21.3	1.3
Location-1278	80274	44.4	39.4	49.5	43.4	32.4
Location-1279	98683	30.5	6.8	32.9	22.8	48.2
Location-128	26278	44.1	34.3	35.5	18.7	12.6
Location-1280	38468	48.2	31.1	36.6	41.1	4.3
Location-1281	92802	20.7	20.9	15.7	42.1	43.6
Location-1282	69428	40.9	45.6	11.7	34.9	12.9
Location-1283	19736	22.4	15.7	23.6	45.7	19.3
Location-1284	98946	48.5	37.2	45.2	36.7	23.1
Location-1285	74544	47.7	23.8	7.9	2.1	40.4
Location-1286	97111	28.9	26.1	6.3	40.0	13.8
Location-1287	98501	37.9	43.2	40.3	47.7	17.7
Location-1288	11055	36.1	16.5	5.7	38.4	12.2
Location-1289	98641	29.7	38.8	15.2	6.3	3.7
Location-129	10506	27.2	47.3	49.4	37.6	36.2
Location-1290	73469	40.4	18.8	37.8	49.1	48.8
Location-1291	55885	45.7	15.6	26.3	10.9	21.8
Location-1292	46652	1.2	45.7	7.5	9.1	14.8
Location-1293	76674	42.6	23.8	7.2	6.8	23.6
Location-1294	67164	4.6	15.1	4.6	41.4	16.0
Location-1295	80805	34.8	25.5	47.9	24.4	13.3
Location-1296	20673	7.7	7.9	34.6	21.8	20.7
Location-1297	34733	23.1	9.3	49.6	19.6	27.5
Location-1299	98579	43.6	24.4	8.1	36.1	13.8
Location-13	25795	47.3	35.8	16.2	43.9	48.4
Location-130	60023	25.9	29.4	36.2	48.0	12.1
Location-1300	45442	18.8	49.8	3.6	44.1	7.2
Location-1301	35865	41.5	35.0	23.8	28.8	26.7
Location-1302	56850	9.5	23.8	36.5	42.1	17.8
Location-1303	81517	39.1	34.7	2.8	11.6	42.5
Location-1304	52451	22.9	27.8	22.2	30.6	16.1
Location-1305	13115	48.5	16.9	46.7	16.8	35.2
Location-1306	53749	16.4	39.2	45.8	28.9	10.8
Location-1307	22915	10.4	47.1	23.0	2.6	38.9
Location-1308	78345	14.3	37.3	29.0	5.5	15.0
Location-1309	43198	3.6	6.7	5.4	26.2	44.6
Location-131	28927	25.4	11.2	27.4	18.8	22.0
Location-1310	90660	47.8	25.6	46.4	41.4	19.1
Location-1311	10259	12.6	18.0	23.2	30.0	31.5
Location-1312	29048	7.6	40.1	32.0	7.0	39.9
Location-1313	41698	46.5	11.7	32.6	25.4	37.8
Location-1314	50855	18.2	25.2	42.9	21.2	19.9
Location-1315	66596	33.5	39.3	45.9	17.3	20.1
Location-1316	47990	44.6	10.8	34.4	9.4	34.0
Location-1317	24476	30.1	42.6	23.6	10.4	34.5
Location-1318	19440	40.8	20.9	43.2	45.4	10.8
Location-1319	71964	41.9	26.6	44.6	30.0	15.4
Location-132	33587	30.8	7.8	4.1	4.4	26.2
Location-1320	77483	9.8	15.9	6.3	8.1	47.6
Location-1321	39957	31.4	37.9	35.6	29.9	36.9
Location-1322	89284	7.6	36.0	28.5	43.9	19.9
Location-1323	89984	3.1	11.9	22.9	35.4	10.0
Location-1324	74577	8.5	43.1	27.1	17.4	16.9
Location-1325	53895	11.7	6.7	43.2	46.9	11.1
Location-1327	41089	45.3	40.3	3.2	3.6	23.0
Location-1329	65546	48.5	40.4	38.4	2.8	45.6
Location-133	80688	13.3	20.8	34.2	21.6	28.8
Location-1330	46168	37.3	49.5	30.7	45.6	44.3
Location-1331	58975	45.0	16.5	17.5	33.3	5.6
Location-1332	45762	36.8	34.0	48.8	34.6	21.4
Location-1333	73073	17.7	3.7	33.6	39.1	28.5
Location-1334	86541	6.1	8.0	38.9	30.3	24.0
Location-1335	54959	6.7	46.6	7.5	37.1	29.5
Location-1336	12610	35.4	10.3	42.1	39.8	28.2
Location-1337	28472	27.8	35.3	38.1	34.7	34.7
Location-1339	33634	31.1	49.3	45.1	14.1	9.3
Location-134	53382	33.8	17.6	9.8	18.0	43.4
Location-1340	99879	14.6	26.4	26.8	21.4	44.5
Location-1341	62408	14.2	33.8	41.8	43.7	31.0
Location-1342	31190	7.1	5.1	30.8	45.2	11.9
Location-1343	24992	21.4	16.9	6.3	48.3	44.1
Location-1344	40706	5.3	7.0	37.9	10.6	18.6
Location-1345	40935	49.1	14.2	7.9	34.4	15.2
Location-1347	88028	22.3	1.8	39.7	45.3	34.7
Location-1348	52964	2.3	12.7	33.9	5.3	22.1
Location-1349	46096	7.3	47.2	49.2	33.6	47.7
Location-135	65132	34.1	8.0	15.9	9.1	49.8
Location-1350	79049	31.6	14.3	7.0	10.1	36.5
Location-1351	56911	44.5	7.0	14.6	13.8	25.7
Location-1352	81614	13.5	40.3	25.6	11.7	30.0
Location-1353	56587	20.4	47.3	46.7	46.9	23.7
Location-1354	17244	18.2	29.1	27.3	13.6	40.3
Location-1355	18067	48.6	32.1	3.4	21.8	44.8
Location-1356	93403	6.6	26.4	11.6	17.5	46.4
Location-1357	20831	42.6	11.0	26.0	11.8	20.7
Location-1358	32649	19.6	7.7	30.3	48.5	44.4
Location-1359	29004	10.0	6.3	35.1	46.3	49.8
Location-136	36556	16.0	39.4	8.5	22.3	22.6
Location-1360	83804	42.4	41.6	36.1	21.4	39.3
Location-1361	45298	13.1	43.2	3.3	6.2	48.0
Location-1362	19186	28.3	32.6	41.9	24.1	34.4
Location-1363	73498	6.8	10.7	41.3	44.3	37.0
Location-1364	18918	1.4	42.8	1.8	3.0	9.6
Location-1365	13991	6.2	38.0	1.4	8.1	2.2
Location-1367	10530	41.0	1.8	18.6	31.7	26.5
Location-1368	99441	11.2	33.5	13.9	11.3	23.5
Location-1369	39329	40.9	45.6	9.9	5.5	13.1
Location-137	81937	15.3	26.9	5.4	22.0	35.6
Location-1370	94341	33.0	35.4	4.8	18.5	21.5
Location-1371	52095	39.1	49.7	1.4	8.4	7.9
Location-1372	68232	48.3	33.0	3.1	21.6	11.6
Location-1373	77503	13.4	8.6	22.5	34.7	19.1
Location-1374	80467	7.9	20.7	44.6	37.3	4.7
Location-1375	25452	29.4	34.5	38.9	35.9	35.1
Location-1376	79868	5.2	41.6	11.8	39.5	26.9
Location-1377	60486	2.9	9.1	27.1	10.8	6.7
Location-1378	78504	46.4	26.6	49.5	8.5	45.6
Location-1379	32578	2.4	10.9	5.2	17.5	4.9
Location-138	29069	34.2	2.1	8.5	40.4	35.9
Location-1380	50456	23.0	36.3	12.8	20.9	12.8
Location-1381	89152	45.4	13.3	45.4	1.3	35.7
Location-1383	85250	11.2	4.6	7.6	6.2	46.3
Location-1384	49249	19.3	18.7	11.6	39.9	39.7
Location-1385	55678	20.3	14.1	35.8	21.9	10.2
Location-1386	40691	38.7	13.7	34.3	40.1	13.8
Location-1387	70657	14.2	26.3	20.0	40.5	12.7
Location-1388	38929	46.1	26.4	17.6	37.1	35.8
Location-1389	24167	19.9	9.2	40.4	26.0	18.4
Location-139	89796	18.7	27.8	25.8	46.0	21.2
Location-1390	80665	13.3	45.9	13.7	10.0	11.6
Location-1391	26218	36.2	37.5	8.0	17.5	38.0
Location-1392	52701	33.6	44.9	22.5	1.2	33.9
Location-1393	84437	35.3	4.2	9.7	37.4	22.4
Location-1394	46864	37.4	37.2	42.7	29.8	45.1
Location-1395	37355	31.1	23.6	39.1	26.8	29.2
Location-1396	53919	40.8	41.6	38.5	9.7	24.1
Location-1397	16065	18.1	9.3	1.5	2.2	36.3
Location-1398	44418	26.6	49.5	41.5	44.6	11.8
Location-1399	86652	6.2	6.7	25.2	33.7	30.7
Location-14	34857	6.7	26.6	39.1	16.9	13.4
Location-140	79594	4.0	44.2	12.4	19.1	17.6
Location-1400	20358	10.0	30.9	49.9	35.5	18.1
Location-1401	97268	30.2	40.0	29.2	23.5	29.9
Location-1402	60290	44.9	41.8	16.6	41.4	39.1
Location-1403	62791	3.1	35.0	49.3	16.8	8.6
Location-1404	56229	42.4	31.7	42.2	25.4	40.9
Location-1405	68230	38.4	1.2	30.1	15.8	36.1
Location-1406	69718	23.3	44.4	39.8	18.2	12.2
Location-1407	16941	31.5	43.9	12.0	23.5	31.3
Location-1408	46952	3.4	46.2	17.8	45.5	10.7
Location-1409	56724	13.9	47.1	2.8	46.0	36.8
Location-141	50331	28.4	33.7	32.2	16.3	42.2
Location-1410	83912	16.5	12.9	37.6	5.9	34.1
Location-1411	64525	14.7	44.7	33.4	17.4	27.6
Location-1412	21323	33.1	11.1	35.8	24.0	8.4
Location-1414	36666	25.1	25.7	9.4	19.7	12.5
Location-1415	57035	27.1	9.6	23.0	24.4	5.3
Location-1416	62699	9.5	8.5	15.7	12.4	39.4
Location-1417	20957	21.0	6.7	37.0	6.8	23.7
Location-1418	10598	5.8	32.5	7.7	25.1	45.4
Location-1419	88718	33.7	4.4	20.4	3.6	45.4
Location-142	18896	35.1	39.8	32.2	2.3	6.6
Location-1420	38029	2.0	15.7	31.9	21.4	39.1
Location-1421	57124	25.0	48.1	10.8	6.7	43.8
Location-1422	92692	21.1	25.1	15.9	12.0	23.3
Location-1423	55685	6.7	23.9	22.8	17.8	29.9
Location-1424	73171	47.3	17.8	50.0	10.9	47.8
Location-1425	90824	12.9	36.1	42.2	25.5	24.6
Location-1426	36688	19.8	6.6	4.6	14.2	7.9
Location-1427	35961	31.6	37.6	42.1	31.0	10.9
Location-1428	56682	40.2	33.5	5.1	7.5	35.8
Location-1429	58330	35.1	31.0	3.9	8.3	12.8
Location-143	20214	13.3	19.2	27.7	23.5	14.1
Location-1430	13869	24.9	2.5	5.9	38.3	41.2
Location-1431	95298	31.3	4.6	19.9	46.1	2.4
Location-1432	11219	15.7	46.1	3.9	36.2	43.4
Location-1433	18492	8.5	34.0	2.5	42.0	41.7
Location-1434	18726	24.3	17.6	22.9	35.8	39.2
Location-1435	65368	42.6	41.7	49.4	42.7	30.8
Location-1436	61463	11.2	35.1	34.3	22.0	37.0
Location-1437	20414	3.9	7.2	2.4	46.2	10.9
Location-1438	45240	49.1	37.3	16.7	32.0	18.7
Location-1439	26154	4.6	25.1	11.2	33.7	18.2
Location-144	23340	28.2	44.8	7.5	9.1	1.2
Location-1440	21328	7.2	32.8	29.3	31.0	46.4
Location-1441	98598	9.3	49.2	3.2	6.9	33.6
