Student ID	Cumulative GPA	Age	Total Course Credits
87246842	3.86	35	35
56347707	2.02	28	25
69479385	3.25	16	20
21548678	3.29	32	25
47273066	2.30	18	54
72616683	4.00	22	118
21597114	2.53	23	24
50560616	2.61	22	100
12152072	2.27	29	48
85720810	2.96	39	104
81839488	1.81	29	43
49762573	2.97	18	17
80820752	2.46	24	58
13596533	2.41	39	32
11380243	2.87	31	115
64751269	3.79	40	104
56586647	3.46	32	50
52170777	2.39	22	20
17224689	2.64	32	56
20780560	3.92	27	33
47898166	3.35	16	96
46753899	3.14	39	44
41800874	3.47	32	117
22967281	2.56	29	100
42758348	2.07	16	95
87560602	2.84	28	69
48065445	2.51	36	69
60069555	2.93	37	88
74874745	3.87	31	112
59949719	2.71	35	53
59028005	3.51	27	73
36844487	2.37	29	60
88627547	3.48	29	109
80092351	2.37	18	20
91064525	3.02	28	36
38400036	3.11	33	79
25415048	3.40	15	60
30494459	2.12	34	42
79771405	1.96	23	56
91787357	1.87	23	71
68505951	2.91	21	65
22890039	2.56	38	105
98734152	2.27	40	88
25964166	3.15	40	97
93455920	3.36	37	107
91673959	3.80	20	78
52990117	3.65	30	58
76880253	3.14	33	24
61691334	3.02	21	64
81355747	2.54	33	53
41407260	3.95	17	114
14178842	2.54	35	78
10013138	3.27	27	30
64539378	2.78	18	52
13073582	2.66	28	18
80654911	2.42	19	98
39989023	3.29	18	77
51640598	3.08	34	109
86617900	1.97	22	109
89553556	3.88	34	26
83658041	2.98	15	48
42014561	3.79	19	80
98442245	3.43	26	92
29699009	2.29	20	68
38461263	3.73	19	75
34822780	3.92	27	40
49357001	2.59	38	120
63010689	3.97	29	57
60918855	2.99	15	119
74895372	2.56	15	63
50804131	3.81	23	91
55102741	3.82	30	120
55385213	3.26	23	25
39773021	1.84	29	110
25184692	2.44	20	15
44270734	2.70	40	78
73668893	3.60	16	75
73069507	2.18	20	117
30193949	3.70	26	51
80122626	2.66	31	68
54741359	2.72	16	96
74372311	2.10	37	17
81126949	2.83	31	52
70029897	2.91	38	34
92942024	2.88	22	97
19236806	3.21	40	25
19471175	3.19	32	63
74702745	2.91	16	40
57677112	1.90	29	93
26261160	3.75	30	16
59727815	3.23	18	60
95755372	3.36	19	67
35999146	3.61	18	58
16402152	2.51	37	15
52596813	2.93	30	27
38981134	2.94	36	57
47377384	3.14	22	98
68705347	2.03	16	57
62010761	2.35	21	78
54959291	2.76	31	84
48293869	2.89	40	106
18810926	2.62	34	104
53933846	2.22	37	22
31256283	1.80	28	87
37945640	2.94	29	49
86726297	3.18	31	77
90128000	3.43	16	99
94307355	2.08	32	39
50956700	3.38	37	85
76599546	2.91	34	29
61096161	3.24	33	19
49778851	3.60	30	27
41490978	3.57	31	17
92730000	3.93	26	84
79840950	2.33	20	77
26763153	3.41	21	69
48952119	2.30	16	81
58909544	1.95	27	84
75029471	3.75	35	97
18197204	2.68	16	36
31780560	3.15	32	45
36908096	3.20	26	96
47531302	2.36	33	113
21297641	2.57	39	70
95521416	3.25	31	16
67639415	3.66	33	67
50748942	3.39	36	49
47997489	3.36	20	97
65369585	1.89	31	79
71743555	2.92	21	62
22478405	2.60	40	68
52093659	2.86	23	99
36931846	3.02	20	117
40180132	3.03	34	19
32937448	2.34	35	78
83552435	3.70	26	100
27240160	2.87	22	95
13688237	2.12	28	60
35356954	3.77	35	107
31036565	3.53	19	61
49994097	3.10	22	113
45115104	2.07	36	34
39938171	3.47	34	52
99511854	1.86	24	64
65596643	3.36	34	82
96670301	1.93	30	91
16130631	2.01	18	72
17485514	2.60	22	108
43370222	1.94	39	98
14911537	1.85	18	37
65394671	2.87	38	75
25442899	1.83	31	54
70056113	2.15	20	101
48334944	1.97	27	28
32406778	3.64	28	115
98284718	3.10	31	110
59998802	2.54	27	75
64031182	1.93	27	62
20484630	3.39	15	115
79127518	2.90	25	107
69003864	2.41	37	87
50031643	2.65	31	99
19251999	3.42	28	77
28186101	2.09	18	70
68813902	2.61	23	113
81557955	1.93	22	37
66444497	2.03	34	40
53685311	3.90	33	42
81744353	1.83	25	96
80482073	3.90	25	118
23793595	2.34	31	36
34315255	2.49	15	48
74305983	2.87	26	47
85597611	3.52	15	93
72785130	2.27	21	33
16118126	3.31	19	37
22158355	3.53	33	17
46419877	3.73	19	94
97002397	2.79	39	61
10949389	2.18	33	81
25838930	2.52	30	19
43975601	1.93	39	36
46771775	2.28	20	64
19212835	2.48	35	79
97362855	2.76	35	84
34645988	1.86	30	16
38494687	3.63	21	103
55960882	2.56	24	62
23302661	3.00	32	115
52432433	2.57	24	50
87234509	3.74	21	53
64600995	3.61	23	20
47614351	3.48	21	99
91122396	3.00	39	114
56516059	2.22	16	59
14542466	2.01	23	32
45937544	2.07	36	62
55800502	1.91	32	64
41230171	3.72	39	113
29679565	3.15	22	42
53547071	2.45	24	46
90536278	3.71	31	109
47098702	3.56	30	118
61450477	2.90	26	59
30519466	3.88	19	89
54991637	2.50	34	71
25162417	3.06	22	100
54055852	3.60	39	61
52797459	2.39	35	32
46277951	2.92	27	46
52701121	2.73	39	31
32550058	2.79	23	82
21079455	2.99	22	100
27300165	2.23	21	21
43910266	2.83	36	31
17822241	2.33	29	81
69599588	3.01	25	87
10668323	3.51	39	97
27969506	3.81	20	51
33410488	2.89	21	45
50438220	3.29	22	16
76380923	2.15	36	19
16023458	3.46	39	71
82369133	1.97	28	15
74649286	2.24	31	59
41136879	1.97	32	40
56623433	3.52	26	54
65849758	2.89	23	54
76511123	1.88	24	27
76565852	3.22	31	113
23782930	3.27	20	78
20950829	3.82	15	97
11578196	1.86	21	107
27804709	2.12	34	25
48036687	3.25	33	36
17349599	2.04	32	109
82339614	3.08	15	24
74424070	3.98	27	63
42668090	3.91	30	37
68892576	1.94	23	78
50284396	3.11	37	66
13106487	3.98	16	49
29628140	2.25	33	119
78011737	3.47	27	63
19627902	3.58	18	30
56764694	1.81	36	97
53416372	3.10	20	77
59890075	3.55	29	117
28488284	2.08	25	90
67615158	2.06	21	81
98610529	3.56	38	55
25790048	2.21	19	96
18795050	3.65	36	81
86435898	3.82	25	53
21241375	2.95	22	20
53873663	3.76	35	17
15090807	3.65	22	19
68613497	3.09	21	115
14432627	3.44	36	106
37270222	1.84	32	17
50972270	2.75	21	32
89736948	1.84	25	112
46565173	3.96	34	52
81364802	1.93	17	114
96428784	2.19	21	83
86325731	3.05	28	68
57721969	2.51	26	47
75201544	3.07	22	93
30088595	3.55	18	28
34730996	2.68	39	62
53678381	3.87	33	37
85210635	3.81	37	57
67981703	3.76	39	33
23521871	2.97	30	76
26315188	2.84	34	84
36154239	3.19	40	63
81274406	2.14	26	117
62277050	3.22	17	36
51687111	3.71	28	119
46843082	3.87	18	74
66977496	3.15	29	16
51835819	2.95	40	30
21679577	2.17	17	85
62968057	3.63	22	53
25732825	3.58	35	76
11620877	3.16	25	66
11108314	2.07	16	103
20016318	3.27	39	34
36973573	2.04	17	77
40886886	3.94	36	74
90423400	2.74	38	53
25306995	3.99	32	67
81572273	2.97	33	59
37147997	3.60	17	18
75621196	3.10	37	56
27800476	2.48	38	76
36729006	2.26	38	65
76122236	2.05	27	34
83308185	1.89	40	106
79111689	3.72	20	82
25476197	3.69	18	81
66535489	3.28	22	71
58407947	3.22	25	15
12049993	3.72	17	68
51216980	3.09	17	51
84109577	2.15	18	86
16289376	1.94	17	85
93730488	2.27	18	50
85966661	2.91	32	30
84222743	3.39	20	26
37122499	2.82	26	53
94953282	3.10	17	81
49018869	3.13	32	93
27103982	3.40	28	58
27113504	1.86	22	41
85340349	3.19	24	27
39208165	3.76	23	53
44176877	1.85	28	40
78230393	3.78	30	70
21969745	2.58	21	51
28111939	3.26	34	112
22186542	3.56	21	52
31994831	1.86	22	36
29439021	3.58	15	67
92075408	2.69	30	113
84487522	3.71	39	55
37295947	3.15	27	24
98953473	3.54	34	51
89294351	1.90	34	106
38343554	2.85	29	51
96702180	3.01	25	62
89694368	3.42	36	52
63102254	2.28	24	71
80988962	2.51	23	96
66629997	2.05	31	118
56326794	2.66	39	36
89675075	3.48	15	57
11423233	1.91	24	105
80369247	2.54	23	85
83782827	3.43	23	109
42132676	1.87	26	44
34116523	2.35	26	84
95034441	3.69	30	119
41669998	1.86	25	62
72583106	2.98	20	64
67679595	3.82	23	118
69738679	1.86	33	75
90302083	2.77	31	42
99277600	2.22	16	30
99192062	3.99	25	42
44475473	2.17	28	21
14742910	3.86	28	52
10509352	3.50	27	25
64679264	3.48	36	36
92488635	2.37	39	62
89165945	2.78	26	59
55443337	3.42	19	42
43638041	2.18	37	68
18461390	3.96	32	33
41630915	2.75	21	43
50972677	2.57	34	36
39383408	2.05	27	37
83565090	1.85	20	76
24932940	3.86	28	87
34944033	1.93	36	19
39938687	2.91	36	65
80376280	2.24	33	79
16591095	3.63	20	33
68084389	2.09	23	83
79497941	3.10	30	19
80029594	2.98	33	91
95242023	2.50	26	40
95430694	2.60	29	24
32208679	3.33	17	41
21850371	2.89	31	60
81585815	2.19	22	105
66393231	2.45	24	26
20885177	3.32	38	29
80064619	3.83	30	64
78684984	3.39	29	96
92807625	1.81	20	38
27221645	3.33	34	58
84399387	2.52	15	54
80779855	3.85	36	73
32189885	2.55	34	39
92277881	3.26	40	56
30289218	3.76	38	109
30768171	2.91	25	86
29195466	3.89	24	102
77697398	2.20	16	24
28655590	3.53	22	35
18152664	3.63	23	55
17037651	3.10	32	46
73930123	2.32	37	78
43323250	2.54	27	47
63938819	3.92	23	114
32206173	3.89	26	86
44033085	2.08	29	113
68221510	3.91	24	20
41954958	2.37	37	97
62286023	2.84	17	63
12988619	3.44	33	36
60345514	2.71	25	102
72230957	2.51	27	79
90666378	2.91	19	108
56295712	1.90	33	38
31977303	2.77	21	112
64269043	1.91	23	35
90878385	2.85	28	19
46921162	2.63	15	61
17468278	2.83	36	112
34196447	3.43	28	66
26667380	2.20	38	56
45553732	2.25	24	60
32392915	2.10	18	108
53121620	2.98	40	111
12031319	1.91	18	107
70182950	2.24	40	25
43422149	3.75	35	79
18586915	2.21	32	55
38066002	3.09	27	65
91313874	2.42	31	53
19591659	2.85	27	83
81708585	3.01	18	26
37993822	3.11	39	63
55648677	1.99	35	93
45127106	2.94	36	53
16246161	3.61	24	99
66607981	3.71	15	74
26191765	2.00	17	68
21491025	2.51	23	109
31565678	2.88	35	110
78638991	2.50	25	68
89831387	3.73	26	103
86929810	2.61	28	110
33481401	2.23	28	96
89152131	3.09	16	25
37451105	3.75	37	56
26886448	2.41	34	118
36445766	2.45	26	96
37285733	3.86	38	81
28860576	1.91	17	34
42681668	1.94	38	26
48433666	2.71	16	46
92220199	3.71	29	59
23986196	3.83	35	45
15871525	3.69	19	58
91251402	2.89	26	58
74966748	3.32	22	88
39101429	2.38	27	86
57786660	2.68	26	103
54427937	1.88	22	79
35301594	2.08	40	90
40737385	3.61	33	39
47355068	3.07	39	21
45320362	2.79	32	68
59657050	2.27	33	41
48205509	3.35	39	38
47988752	3.80	21	30
15298380	3.57	38	57
81000257	3.98	23	79
43350936	2.02	23	84
35394268	2.08	21	18
57379343	2.65	35	59
18130538	2.63	20	57
25980811	3.98	29	102
57898427	2.59	25	15
18377456	2.54	30	41
99534342	3.12	37	46
25657632	2.96	37	77
63606269	2.73	30	98
13765997	3.99	18	68
55966650	2.09	32	85
44603765	2.65	16	116
75561923	2.66	16	120
85001180	3.05	20	44
59052333	2.55	33	61
71688897	1.92	17	43
93602169	2.20	19	84
87049100	3.72	33	88
90955534	3.65	15	57
32877336	3.06	30	93
44899366	3.00	16	77
19713277	3.85	21	40
38976826	3.24	34	73
46736973	2.90	39	48
66445617	3.65	28	120
32396297	3.28	25	20
36486341	2.01	20	29
12270629	3.55	32	74
43996833	3.14	38	56
96583360	3.77	30	51
56592619	3.54	38	89
47997232	2.89	20	56
81302606	2.65	28	91
28745432	2.40	15	64
96665728	3.10	34	29
21442142	1.81	32	51
76701236	2.93	15	91
27918106	4.00	21	47
91507597	3.28	38	109
24304427	3.47	15	92
34479604	3.53	33	15
95057930	3.22	29	22
72746578	2.89	21	33
38175045	2.76	35	109
81431546	3.01	38	29
71301058	3.63	34	67
83072545	2.40	18	105
86100892	2.52	28	59
74203183	2.23	15	68
80084618	3.00	25	109
91037950	2.27	39	38
40974714	2.43	27	38
61186157	3.32	33	35
17469665	2.95	19	81
10336001	3.87	20	118
42407885	3.49	22	22
51475540	2.81	26	49
56650316	2.29	25	75
43405163	3.22	31	30
21872588	3.99	27	82
68362381	2.86	34	65
84622595	3.51	30	116
99216132	3.83	35	45
94107715	3.84	20	96
63819074	3.12	24	32
23922342	2.24	32	62
81376197	2.66	40	38
10736805	2.21	38	115
10885683	3.99	19	51
98755980	3.13	38	62
90742911	3.57	24	48
55645585	2.05	19	45
85518998	2.62	25	43
88344480	3.30	22	58
88523621	2.57	21	107
19200379	3.81	26	58
29178911	3.98	22	34
72329414	2.13	39	55
76576811	2.81	30	38
65610750	2.43	15	69
88321105	3.92	29	60
50091335	3.15	20	104
89324089	3.29	23	38
98153502	3.89	22	104
70512574	2.46	35	66
52173348	2.54	24	29
76400427	2.38	35	72
94263029	1.96	18	96
53032053	2.63	32	77
35662348	3.39	16	114
94521021	3.17	21	15
69826392	1.93	23	43
89023255	3.58	15	22
17178101	3.19	40	35
86673098	2.95	29	52
21426596	3.87	40	33
97422560	3.27	30	119
93670097	2.74	16	69
57587508	1.87	25	52
64795992	2.48	23	62
68786592	3.53	32	49
19105342	3.82	15	106
18415049	3.14	38	81
97433409	1.91	21	60
21112571	3.61	36	95
10411051	3.26	25	27
76908581	3.60	32	19
33686482	2.04	15	93
29557103	3.94	33	105
63110887	2.23	39	20
21418978	3.04	33	16
56427189	2.67	17	34
88004948	1.84	22	27
96763656	3.73	30	22
25807192	2.61	40	87
53265077	3.58	19	22
36936193	3.15	22	119
39092290	2.95	19	56
43596538	3.59	24	17
12447743	2.11	40	93
45410875	2.72	24	62
78416681	2.69	19	33
23216258	1.92	31	106
17704534	2.89	22	99
35680610	2.75	17	118
85543868	3.14	29	77
29116729	2.62	29	53
80190003	2.63	24	87
90005862	3.36	19	57
48267028	3.44	36	107
58212807	3.05	28	92
20114585	3.25	33	46
18238580	2.52	27	46
92789992	3.64	33	52
33615255	3.51	18	92
87183062	2.29	28	115
78684333	2.92	39	56
49707487	2.89	24	38
49835824	2.93	25	77
63625103	3.92	26	67
71161571	2.50	34	52
46296420	3.66	30	104
59889092	3.90	32	120
16104914	2.97	35	54
17050835	3.87	24	116
81287804	2.50	26	32
54998640	3.66	32	24
82729531	1.84	19	110
74825969	2.94	32	81
49240435	3.66	35	58
46557837	2.72	21	76
59640621	1.97	19	102
38042125	3.38	19	44
93822025	3.07	38	66
40708318	2.28	24	78
46248702	1.93	31	100
97307410	3.59	34	21
48718753	3.36	31	92
32368773	2.06	24	18
89407856	1.83	20	33
57412101	3.97	15	33
34384199	2.81	20	48
24504361	1.92	20	106
53569572	2.63	26	71
15826760	2.31	21	16
98062481	2.85	28	46
71818821	3.69	38	34
20982098	3.79	29	91
18958357	2.62	16	119
44105723	3.34	30	81
49398576	3.15	39	73
69793005	2.85	34	112
12760106	2.68	21	95
48483638	2.60	40	114
30112744	2.79	39	32
67761087	1.85	38	98
17510941	3.05	19	63
61752317	2.40	32	72
61264023	2.57	27	98
80441662	3.75	30	85
22943360	2.27	27	62
17363102	3.80	27	48
97485629	2.21	16	57
50272645	2.00	40	72
62501260	2.51	18	116
15367176	2.96	30	54
39840474	3.13	27	22
73399048	2.36	37	42
57048534	1.89	38	27
63709227	2.93	40	77
29892741	3.46	38	45
88568300	3.64	18	88
35487761	3.83	22	42
49203830	3.41	27	119
52346286	3.78	31	89
98722308	3.07	28	98
48218838	2.65	31	15
41252746	2.85	19	120
97095133	3.95	16	32
72685300	2.86	40	63
59347883	2.10	31	59
66081784	2.74	18	117
54338578	2.00	34	96
60491363	2.78	38	65
68794182	2.76	35	66
30210893	2.05	22	103
41649366	3.49	38	78
16492142	3.07	21	120
33433822	3.81	31	35
27744593	2.70	17	20
24740869	3.83	20	97
78777696	3.15	15	48
12330665	3.49	15	83
85726643	3.52	37	46
52131693	1.90	31	91
77622288	2.10	36	46
70664692	3.72	37	118
46618465	2.86	15	96
10964202	2.95	20	119
98526707	2.86	23	91
14294120	2.06	19	32
77190063	2.21	36	71
98593426	3.26	26	73
54101622	2.31	22	117
98194495	3.11	33	78
60528103	3.79	15	94
70225192	2.88	24	86
65296462	2.93	40	106
21453069	3.48	34	54
76354680	2.39	28	85
32959354	2.21	26	111
24915340	3.23	36	99
40325228	3.75	23	89
34030602	3.54	30	66
80172776	3.11	36	116
49223171	1.81	30	101
85098319	3.10	16	98
31433647	3.14	25	18
57286945	2.06	32	81
53610791	2.56	26	44
12192320	1.94	40	29
68949151	3.85	27	26
10789153	3.38	26	18
48269231	2.94	15	120
21557823	2.41	18	53
77572473	3.79	36	84
31911222	2.62	19	119
67615536	2.81	38	57
46947107	2.20	18	33
67859579	3.91	24	67
25361513	2.43	16	32
41597094	2.10	25	111
74490676	2.80	15	80
82711007	3.32	25	65
60781153	3.01	15	33
93045818	2.68	27	76
53682689	3.68	33	65
46733616	2.63	22	91
12606271	3.75	27	107
53940538	2.71	31	90
33720163	2.38	16	83
65730672	3.51	19	104
86065705	1.95	35	16
16849718	2.08	27	71
50751115	2.79	37	103
10268880	3.28	31	102
95920216	3.16	39	100
17666541	2.09	26	29
70974765	3.38	19	38
66619721	2.44	24	58
10441760	3.08	17	43
90110380	3.63	34	47
11354642	2.73	19	104
44307415	2.08	39	38
12783050	3.44	28	108
58561929	3.76	35	97
64780941	2.71	36	88
62404507	3.33	15	116
59477238	2.00	18	42
35961581	3.49	36	106
74805156	2.39	40	37
65006083	1.84	25	41
63196747	2.07	21	100
26799237	2.82	22	119
91869619	3.50	38	30
34229452	2.76	22	24
35326499	2.04	33	67
80159140	3.58	36	18
29298009	2.37	20	89
44952257	3.41	30	63
85111214	3.44	16	107
17170273	3.35	37	96
53268791	1.81	38	111
99488656	3.09	16	118
82765096	3.78	20	97
75956554	3.04	39	115
71358615	3.27	25	35
29733341	3.31	27	106
11311295	3.84	40	79
57114948	3.38	21	98
84787569	2.23	39	65
73383480	3.95	34	59
80207790	2.57	21	104
59337878	3.59	32	97
96833213	3.63	38	86
29796148	3.41	34	95
35924833	2.48	15	58
84048389	3.46	36	112
35286593	2.27	38	40
23101009	3.11	31	51
16809127	3.67	30	87
42462580	3.40	29	90
98614748	3.29	30	91
72001869	3.00	23	76
17476338	2.75	30	74
42725401	2.99	16	92
51055189	2.27	36	86
73111269	3.60	29	15
22858980	2.45	16	94
58153210	2.20	23	26
63280091	3.37	27	37
81231238	2.68	24	35
63160314	3.31	36	120
29710291	2.03	31	35
45505036	2.96	19	86
47430283	2.98	34	20
40821755	3.65	18	63
28710209	2.20	19	56
36095328	3.83	38	47
28018406	3.67	16	115
99395007	3.38	15	69
46336871	2.21	28	69
25057145	2.97	36	60
45683006	3.05	31	93
83198523	3.59	36	85
53779917	3.53	22	28
52500427	3.08	22	80
79935667	3.85	23	99
75917915	2.79	19	33
96894418	3.63	15	35
52391787	2.61	15	43
48212840	3.71	15	69
91574072	2.39	36	28
